Unicode case folding

Unicode character; Mapping type; Folded equivalent # Description
U+01EC; C; U+01ED; # LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
U+01EE; C; U+01EF; # LATIN CAPITAL LETTER EZH WITH CARON
U+01F0; F; U+006A U+030C; # LATIN SMALL LETTER J WITH CARON
U+01F1; C; U+01F3; # LATIN CAPITAL LETTER DZ
U+01F2; C; U+01F3; # LATIN CAPITAL LETTER D WITH SMALL LETTER Z
U+01F4; C; U+01F5; # LATIN CAPITAL LETTER G WITH ACUTE
U+01F6; C; U+0195; # LATIN CAPITAL LETTER HWAIR
U+01F7; C; U+01BF; # LATIN CAPITAL LETTER WYNN
U+01F8; C; U+01F9; # LATIN CAPITAL LETTER N WITH GRAVE
U+01FA; C; U+01FB; # LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
U+01FC; C; U+01FD; # LATIN CAPITAL LETTER AE WITH ACUTE
U+01FE; C; U+01FF; # LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
U+0200; C; U+0201; # LATIN CAPITAL LETTER A WITH DOUBLE GRAVE
U+0202; C; U+0203; # LATIN CAPITAL LETTER A WITH INVERTED BREVE
U+0204; C; U+0205; # LATIN CAPITAL LETTER E WITH DOUBLE GRAVE
U+0206; C; U+0207; # LATIN CAPITAL LETTER E WITH INVERTED BREVE
U+0208; C; U+0209; # LATIN CAPITAL LETTER I WITH DOUBLE GRAVE
U+020A; C; U+020B; # LATIN CAPITAL LETTER I WITH INVERTED BREVE
U+020C; C; U+020D; # LATIN CAPITAL LETTER O WITH DOUBLE GRAVE
U+020E; C; U+020F; # LATIN CAPITAL LETTER O WITH INVERTED BREVE
U+0210; C; U+0211; # LATIN CAPITAL LETTER R WITH DOUBLE GRAVE
U+0212; C; U+0213; # LATIN CAPITAL LETTER R WITH INVERTED BREVE
U+0214; C; U+0215; # LATIN CAPITAL LETTER U WITH DOUBLE GRAVE
U+0216; C; U+0217; # LATIN CAPITAL LETTER U WITH INVERTED BREVE
U+0218; C; U+0219; # LATIN CAPITAL LETTER S WITH COMMA BELOW
U+021A; C; U+021B; # LATIN CAPITAL LETTER T WITH COMMA BELOW
U+021C; C; U+021D; # LATIN CAPITAL LETTER YOGH
U+021E; C; U+021F; # LATIN CAPITAL LETTER H WITH CARON
U+0220; C; U+019E; # LATIN CAPITAL LETTER N WITH LONG RIGHT LEG
U+0222; C; U+0223; # LATIN CAPITAL LETTER OU
U+0224; C; U+0225; # LATIN CAPITAL LETTER Z WITH HOOK
U+0226; C; U+0227; # LATIN CAPITAL LETTER A WITH DOT ABOVE
U+0228; C; U+0229; # LATIN CAPITAL LETTER E WITH CEDILLA
U+022A; C; U+022B; # LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON
U+022C; C; U+022D; # LATIN CAPITAL LETTER O WITH TILDE AND MACRON
U+022E; C; U+022F; # LATIN CAPITAL LETTER O WITH DOT ABOVE
U+0230; C; U+0231; # LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON
U+0232; C; U+0233; # LATIN CAPITAL LETTER Y WITH MACRON
U+023A; C; U+2C65; # LATIN CAPITAL LETTER A WITH STROKE
U+023B; C; U+023C; # LATIN CAPITAL LETTER C WITH STROKE
U+023D; C; U+019A; # LATIN CAPITAL LETTER L WITH BAR
U+023E; C; U+2C66; # LATIN CAPITAL LETTER T WITH DIAGONAL STROKE
U+0241; C; U+0242; # LATIN CAPITAL LETTER GLOTTAL STOP
U+0243; C; U+0180; # LATIN CAPITAL LETTER B WITH STROKE
U+0244; C; U+0289; # LATIN CAPITAL LETTER U BAR
U+0245; C; U+028C; # LATIN CAPITAL LETTER TURNED V
U+0246; C; U+0247; # LATIN CAPITAL LETTER E WITH STROKE
U+0248; C; U+0249; # LATIN CAPITAL LETTER J WITH STROKE
U+024A; C; U+024B; # LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL
U+024C; C; U+024D; # LATIN CAPITAL LETTER R WITH STROKE
U+024E; C; U+024F; # LATIN CAPITAL LETTER Y WITH STROKE
U+0345; C; U+03B9; # COMBINING GREEK YPOGEGRAMMENI
U+0370; C; U+0371; # GREEK CAPITAL LETTER HETA
U+0372; C; U+0373; # GREEK CAPITAL LETTER ARCHAIC SAMPI
U+0376; C; U+0377; # GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA
U+037F; C; U+03F3; # GREEK CAPITAL LETTER YOT
U+0386; C; U+03AC; # GREEK CAPITAL LETTER ALPHA WITH TONOS
U+0388; C; U+03AD; # GREEK CAPITAL LETTER EPSILON WITH TONOS
U+0389; C; U+03AE; # GREEK CAPITAL LETTER ETA WITH TONOS
U+038A; C; U+03AF; # GREEK CAPITAL LETTER IOTA WITH TONOS
U+038C; C; U+03CC; # GREEK CAPITAL LETTER OMICRON WITH TONOS
U+038E; C; U+03CD; # GREEK CAPITAL LETTER UPSILON WITH TONOS
U+038F; C; U+03CE; # GREEK CAPITAL LETTER OMEGA WITH TONOS
U+0390; F; U+03B9 U+0308 U+0301; # GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
U+0391; C; U+03B1; # GREEK CAPITAL LETTER ALPHA
U+0392; C; U+03B2; # GREEK CAPITAL LETTER BETA
U+0393; C; U+03B3; # GREEK CAPITAL LETTER GAMMA
U+0394; C; U+03B4; # GREEK CAPITAL LETTER DELTA
U+0395; C; U+03B5; # GREEK CAPITAL LETTER EPSILON
U+0396; C; U+03B6; # GREEK CAPITAL LETTER ZETA
U+0397; C; U+03B7; # GREEK CAPITAL LETTER ETA
U+0398; C; U+03B8; # GREEK CAPITAL LETTER THETA
U+0399; C; U+03B9; # GREEK CAPITAL LETTER IOTA
U+039A; C; U+03BA; # GREEK CAPITAL LETTER KAPPA
U+039B; C; U+03BB; # GREEK CAPITAL LETTER LAMDA
U+039C; C; U+03BC; # GREEK CAPITAL LETTER MU
U+039D; C; U+03BD; # GREEK CAPITAL LETTER NU
U+039E; C; U+03BE; # GREEK CAPITAL LETTER XI
U+039F; C; U+03BF; # GREEK CAPITAL LETTER OMICRON
U+03A0; C; U+03C0; # GREEK CAPITAL LETTER PI
U+03A1; C; U+03C1; # GREEK CAPITAL LETTER RHO
U+03A3; C; U+03C3; # GREEK CAPITAL LETTER SIGMA
U+03A4; C; U+03C4; # GREEK CAPITAL LETTER TAU
U+03A5; C; U+03C5; # GREEK CAPITAL LETTER UPSILON
U+03A6; C; U+03C6; # GREEK CAPITAL LETTER PHI
U+03A7; C; U+03C7; # GREEK CAPITAL LETTER CHI
U+03A8; C; U+03C8; # GREEK CAPITAL LETTER PSI
U+03A9; C; U+03C9; # GREEK CAPITAL LETTER OMEGA
U+03AA; C; U+03CA; # GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
U+03AB; C; U+03CB; # GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
U+03B0; F; U+03C5 U+0308 U+0301; # GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
U+03C2; C; U+03C3; # GREEK SMALL LETTER FINAL SIGMA
U+03CF; C; U+03D7; # GREEK CAPITAL KAI SYMBOL
U+03D0; C; U+03B2; # GREEK BETA SYMBOL
U+03D1; C; U+03B8; # GREEK THETA SYMBOL
U+03D5; C; U+03C6; # GREEK PHI SYMBOL
U+03D6; C; U+03C0; # GREEK PI SYMBOL
