Unicode case folding

Unicode character; Mapping type; Folded equivalent # Description
U+1EEE; C; U+1EEF; # LATIN CAPITAL LETTER U WITH HORN AND TILDE
U+1EF0; C; U+1EF1; # LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW
U+1EF2; C; U+1EF3; # LATIN CAPITAL LETTER Y WITH GRAVE
U+1EF4; C; U+1EF5; # LATIN CAPITAL LETTER Y WITH DOT BELOW
U+1EF6; C; U+1EF7; # LATIN CAPITAL LETTER Y WITH HOOK ABOVE
U+1EF8; C; U+1EF9; # LATIN CAPITAL LETTER Y WITH TILDE
U+1EFA; C; U+1EFB; # LATIN CAPITAL LETTER MIDDLE-WELSH LL
U+1EFC; C; U+1EFD; # LATIN CAPITAL LETTER MIDDLE-WELSH V
U+1EFE; C; U+1EFF; # LATIN CAPITAL LETTER Y WITH LOOP
U+1F08; C; U+1F00; # GREEK CAPITAL LETTER ALPHA WITH PSILI
U+1F09; C; U+1F01; # GREEK CAPITAL LETTER ALPHA WITH DASIA
U+1F0A; C; U+1F02; # GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA
U+1F0B; C; U+1F03; # GREEK CAPITAL LETTER ALPHA WITH DASIA AND VARIA
U+1F0C; C; U+1F04; # GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA
U+1F0D; C; U+1F05; # GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA
U+1F0E; C; U+1F06; # GREEK CAPITAL LETTER ALPHA WITH PSILI AND PERISPOMENI
U+1F0F; C; U+1F07; # GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI
U+1F18; C; U+1F10; # GREEK CAPITAL LETTER EPSILON WITH PSILI
U+1F19; C; U+1F11; # GREEK CAPITAL LETTER EPSILON WITH DASIA
U+1F1A; C; U+1F12; # GREEK CAPITAL LETTER EPSILON WITH PSILI AND VARIA
U+1F1B; C; U+1F13; # GREEK CAPITAL LETTER EPSILON WITH DASIA AND VARIA
U+1F1C; C; U+1F14; # GREEK CAPITAL LETTER EPSILON WITH PSILI AND OXIA
U+1F1D; C; U+1F15; # GREEK CAPITAL LETTER EPSILON WITH DASIA AND OXIA
U+1F28; C; U+1F20; # GREEK CAPITAL LETTER ETA WITH PSILI
U+1F29; C; U+1F21; # GREEK CAPITAL LETTER ETA WITH DASIA
U+1F2A; C; U+1F22; # GREEK CAPITAL LETTER ETA WITH PSILI AND VARIA
U+1F2B; C; U+1F23; # GREEK CAPITAL LETTER ETA WITH DASIA AND VARIA
U+1F2C; C; U+1F24; # GREEK CAPITAL LETTER ETA WITH PSILI AND OXIA
U+1F2D; C; U+1F25; # GREEK CAPITAL LETTER ETA WITH DASIA AND OXIA
U+1F2E; C; U+1F26; # GREEK CAPITAL LETTER ETA WITH PSILI AND PERISPOMENI
U+1F2F; C; U+1F27; # GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI
U+1F38; C; U+1F30; # GREEK CAPITAL LETTER IOTA WITH PSILI
U+1F39; C; U+1F31; # GREEK CAPITAL LETTER IOTA WITH DASIA
U+1F3A; C; U+1F32; # GREEK CAPITAL LETTER IOTA WITH PSILI AND VARIA
U+1F3B; C; U+1F33; # GREEK CAPITAL LETTER IOTA WITH DASIA AND VARIA
U+1F3C; C; U+1F34; # GREEK CAPITAL LETTER IOTA WITH PSILI AND OXIA
U+1F3D; C; U+1F35; # GREEK CAPITAL LETTER IOTA WITH DASIA AND OXIA
U+1F3E; C; U+1F36; # GREEK CAPITAL LETTER IOTA WITH PSILI AND PERISPOMENI
U+1F3F; C; U+1F37; # GREEK CAPITAL LETTER IOTA WITH DASIA AND PERISPOMENI
U+1F48; C; U+1F40; # GREEK CAPITAL LETTER OMICRON WITH PSILI
U+1F49; C; U+1F41; # GREEK CAPITAL LETTER OMICRON WITH DASIA
U+1F4A; C; U+1F42; # GREEK CAPITAL LETTER OMICRON WITH PSILI AND VARIA
U+1F4B; C; U+1F43; # GREEK CAPITAL LETTER OMICRON WITH DASIA AND VARIA
U+1F4C; C; U+1F44; # GREEK CAPITAL LETTER OMICRON WITH PSILI AND OXIA
U+1F4D; C; U+1F45; # GREEK CAPITAL LETTER OMICRON WITH DASIA AND OXIA
U+1F50; F; U+03C5 U+0313; # GREEK SMALL LETTER UPSILON WITH PSILI
U+1F52; F; U+03C5 U+0313 U+0300; # GREEK SMALL LETTER UPSILON WITH PSILI AND VARIA
U+1F54; F; U+03C5 U+0313 U+0301; # GREEK SMALL LETTER UPSILON WITH PSILI AND OXIA
U+1F56; F; U+03C5 U+0313 U+0342; # GREEK SMALL LETTER UPSILON WITH PSILI AND PERISPOMENI
U+1F59; C; U+1F51; # GREEK CAPITAL LETTER UPSILON WITH DASIA
U+1F5B; C; U+1F53; # GREEK CAPITAL LETTER UPSILON WITH DASIA AND VARIA
U+1F5D; C; U+1F55; # GREEK CAPITAL LETTER UPSILON WITH DASIA AND OXIA
U+1F5F; C; U+1F57; # GREEK CAPITAL LETTER UPSILON WITH DASIA AND PERISPOMENI
U+1F68; C; U+1F60; # GREEK CAPITAL LETTER OMEGA WITH PSILI
U+1F69; C; U+1F61; # GREEK CAPITAL LETTER OMEGA WITH DASIA
U+1F6A; C; U+1F62; # GREEK CAPITAL LETTER OMEGA WITH PSILI AND VARIA
U+1F6B; C; U+1F63; # GREEK CAPITAL LETTER OMEGA WITH DASIA AND VARIA
U+1F6C; C; U+1F64; # GREEK CAPITAL LETTER OMEGA WITH PSILI AND OXIA
U+1F6D; C; U+1F65; # GREEK CAPITAL LETTER OMEGA WITH DASIA AND OXIA
U+1F6E; C; U+1F66; # GREEK CAPITAL LETTER OMEGA WITH PSILI AND PERISPOMENI
U+1F6F; C; U+1F67; # GREEK CAPITAL LETTER OMEGA WITH DASIA AND PERISPOMENI
U+1F80; F; U+1F00 U+03B9; # GREEK SMALL LETTER ALPHA WITH PSILI AND YPOGEGRAMMENI
U+1F81; F; U+1F01 U+03B9; # GREEK SMALL LETTER ALPHA WITH DASIA AND YPOGEGRAMMENI
U+1F82; F; U+1F02 U+03B9; # GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA AND YPOGEGRAMMENI
U+1F83; F; U+1F03 U+03B9; # GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA AND YPOGEGRAMMENI
U+1F84; F; U+1F04 U+03B9; # GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA AND YPOGEGRAMMENI
U+1F85; F; U+1F05 U+03B9; # GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA AND YPOGEGRAMMENI
U+1F86; F; U+1F06 U+03B9; # GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
U+1F87; F; U+1F07 U+03B9; # GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
U+1F88; F; U+1F00 U+03B9; # GREEK CAPITAL LETTER ALPHA WITH PSILI AND PROSGEGRAMMENI
U+1F88; S; U+1F80; # GREEK CAPITAL LETTER ALPHA WITH PSILI AND PROSGEGRAMMENI
U+1F89; F; U+1F01 U+03B9; # GREEK CAPITAL LETTER ALPHA WITH DASIA AND PROSGEGRAMMENI
U+1F89; S; U+1F81; # GREEK CAPITAL LETTER ALPHA WITH DASIA AND PROSGEGRAMMENI
U+1F8A; F; U+1F02 U+03B9; # GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA AND PROSGEGRAMMENI
U+1F8A; S; U+1F82; # GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA AND PROSGEGRAMMENI
U+1F8B; F; U+1F03 U+03B9; # GREEK CAPITAL LETTER ALPHA WITH DASIA AND VARIA AND PROSGEGRAMMENI
U+1F8B; S; U+1F83; # GREEK CAPITAL LETTER ALPHA WITH DASIA AND VARIA AND PROSGEGRAMMENI
U+1F8C; F; U+1F04 U+03B9; # GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA AND PROSGEGRAMMENI
U+1F8C; S; U+1F84; # GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA AND PROSGEGRAMMENI
U+1F8D; F; U+1F05 U+03B9; # GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA AND PROSGEGRAMMENI
U+1F8D; S; U+1F85; # GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA AND PROSGEGRAMMENI
U+1F8E; F; U+1F06 U+03B9; # GREEK CAPITAL LETTER ALPHA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
U+1F8E; S; U+1F86; # GREEK CAPITAL LETTER ALPHA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
U+1F8F; F; U+1F07 U+03B9; # GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
U+1F8F; S; U+1F87; # GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
U+1F90; F; U+1F20 U+03B9; # GREEK SMALL LETTER ETA WITH PSILI AND YPOGEGRAMMENI
U+1F91; F; U+1F21 U+03B9; # GREEK SMALL LETTER ETA WITH DASIA AND YPOGEGRAMMENI
U+1F92; F; U+1F22 U+03B9; # GREEK SMALL LETTER ETA WITH PSILI AND VARIA AND YPOGEGRAMMENI
U+1F93; F; U+1F23 U+03B9; # GREEK SMALL LETTER ETA WITH DASIA AND VARIA AND YPOGEGRAMMENI
U+1F94; F; U+1F24 U+03B9; # GREEK SMALL LETTER ETA WITH PSILI AND OXIA AND YPOGEGRAMMENI
U+1F95; F; U+1F25 U+03B9; # GREEK SMALL LETTER ETA WITH DASIA AND OXIA AND YPOGEGRAMMENI
U+1F96; F; U+1F26 U+03B9; # GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
U+1F97; F; U+1F27 U+03B9; # GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
U+1F98; F; U+1F20 U+03B9; # GREEK CAPITAL LETTER ETA WITH PSILI AND PROSGEGRAMMENI
U+1F98; S; U+1F90; # GREEK CAPITAL LETTER ETA WITH PSILI AND PROSGEGRAMMENI
U+1F99; F; U+1F21 U+03B9; # GREEK CAPITAL LETTER ETA WITH DASIA AND PROSGEGRAMMENI
U+1F99; S; U+1F91; # GREEK CAPITAL LETTER ETA WITH DASIA AND PROSGEGRAMMENI
U+1F9A; F; U+1F22 U+03B9; # GREEK CAPITAL LETTER ETA WITH PSILI AND VARIA AND PROSGEGRAMMENI
U+1F9A; S; U+1F92; # GREEK CAPITAL LETTER ETA WITH PSILI AND VARIA AND PROSGEGRAMMENI
U+1F9B; F; U+1F23 U+03B9; # GREEK CAPITAL LETTER ETA WITH DASIA AND VARIA AND PROSGEGRAMMENI
U+1F9B; S; U+1F93; # GREEK CAPITAL LETTER ETA WITH DASIA AND VARIA AND PROSGEGRAMMENI
U+1F9C; F; U+1F24 U+03B9; # GREEK CAPITAL LETTER ETA WITH PSILI AND OXIA AND PROSGEGRAMMENI
U+1F9C; S; U+1F94; # GREEK CAPITAL LETTER ETA WITH PSILI AND OXIA AND PROSGEGRAMMENI
U+1F9D; F; U+1F25 U+03B9; # GREEK CAPITAL LETTER ETA WITH DASIA AND OXIA AND PROSGEGRAMMENI
U+1F9D; S; U+1F95; # GREEK CAPITAL LETTER ETA WITH DASIA AND OXIA AND PROSGEGRAMMENI
U+1F9E; F; U+1F26 U+03B9; # GREEK CAPITAL LETTER ETA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
U+1F9E; S; U+1F96; # GREEK CAPITAL LETTER ETA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
U+1F9F; F; U+1F27 U+03B9; # GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
U+1F9F; S; U+1F97; # GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
U+1FA0; F; U+1F60 U+03B9; # GREEK SMALL LETTER OMEGA WITH PSILI AND YPOGEGRAMMENI
U+1FA1; F; U+1F61 U+03B9; # GREEK SMALL LETTER OMEGA WITH DASIA AND YPOGEGRAMMENI
U+1FA2; F; U+1F62 U+03B9; # GREEK SMALL LETTER OMEGA WITH PSILI AND VARIA AND YPOGEGRAMMENI
U+1FA3; F; U+1F63 U+03B9; # GREEK SMALL LETTER OMEGA WITH DASIA AND VARIA AND YPOGEGRAMMENI
U+1FA4; F; U+1F64 U+03B9; # GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA AND YPOGEGRAMMENI
U+1FA5; F; U+1F65 U+03B9; # GREEK SMALL LETTER OMEGA WITH DASIA AND OXIA AND YPOGEGRAMMENI
U+1FA6; F; U+1F66 U+03B9; # GREEK SMALL LETTER OMEGA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
U+1FA7; F; U+1F67 U+03B9; # GREEK SMALL LETTER OMEGA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
U+1FA8; F; U+1F60 U+03B9; # GREEK CAPITAL LETTER OMEGA WITH PSILI AND PROSGEGRAMMENI
U+1FA8; S; U+1FA0; # GREEK CAPITAL LETTER OMEGA WITH PSILI AND PROSGEGRAMMENI
U+1FA9; F; U+1F61 U+03B9; # GREEK CAPITAL LETTER OMEGA WITH DASIA AND PROSGEGRAMMENI
U+1FA9; S; U+1FA1; # GREEK CAPITAL LETTER OMEGA WITH DASIA AND PROSGEGRAMMENI
U+1FAA; F; U+1F62 U+03B9; # GREEK CAPITAL LETTER OMEGA WITH PSILI AND VARIA AND PROSGEGRAMMENI
U+1FAA; S; U+1FA2; # GREEK CAPITAL LETTER OMEGA WITH PSILI AND VARIA AND PROSGEGRAMMENI
U+1FAB; F; U+1F63 U+03B9; # GREEK CAPITAL LETTER OMEGA WITH DASIA AND VARIA AND PROSGEGRAMMENI
U+1FAB; S; U+1FA3; # GREEK CAPITAL LETTER OMEGA WITH DASIA AND VARIA AND PROSGEGRAMMENI
U+1FAC; F; U+1F64 U+03B9; # GREEK CAPITAL LETTER OMEGA WITH PSILI AND OXIA AND PROSGEGRAMMENI
U+1FAC; S; U+1FA4; # GREEK CAPITAL LETTER OMEGA WITH PSILI AND OXIA AND PROSGEGRAMMENI
U+1FAD; F; U+1F65 U+03B9; # GREEK CAPITAL LETTER OMEGA WITH DASIA AND OXIA AND PROSGEGRAMMENI
U+1FAD; S; U+1FA5; # GREEK CAPITAL LETTER OMEGA WITH DASIA AND OXIA AND PROSGEGRAMMENI
U+1FAE; F; U+1F66 U+03B9; # GREEK CAPITAL LETTER OMEGA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
U+1FAE; S; U+1FA6; # GREEK CAPITAL LETTER OMEGA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
U+1FAF; F; U+1F67 U+03B9; # GREEK CAPITAL LETTER OMEGA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
U+1FAF; S; U+1FA7; # GREEK CAPITAL LETTER OMEGA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
U+1FB2; F; U+1F70 U+03B9; # GREEK SMALL LETTER ALPHA WITH VARIA AND YPOGEGRAMMENI
U+1FB3; F; U+03B1 U+03B9; # GREEK SMALL LETTER ALPHA WITH YPOGEGRAMMENI
U+1FB4; F; U+03AC U+03B9; # GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI
U+1FB6; F; U+03B1 U+0342; # GREEK SMALL LETTER ALPHA WITH PERISPOMENI
U+1FB7; F; U+03B1 U+0342 U+03B9; # GREEK SMALL LETTER ALPHA WITH PERISPOMENI AND YPOGEGRAMMENI
U+1FB8; C; U+1FB0; # GREEK CAPITAL LETTER ALPHA WITH VRACHY
U+1FB9; C; U+1FB1; # GREEK CAPITAL LETTER ALPHA WITH MACRON
U+1FBA; C; U+1F70; # GREEK CAPITAL LETTER ALPHA WITH VARIA
U+1FBB; C; U+1F71; # GREEK CAPITAL LETTER ALPHA WITH OXIA
U+1FBC; F; U+03B1 U+03B9; # GREEK CAPITAL LETTER ALPHA WITH PROSGEGRAMMENI
U+1FBC; S; U+1FB3; # GREEK CAPITAL LETTER ALPHA WITH PROSGEGRAMMENI
U+1FBE; C; U+03B9; # GREEK PROSGEGRAMMENI
U+1FC2; F; U+1F74 U+03B9; # GREEK SMALL LETTER ETA WITH VARIA AND YPOGEGRAMMENI
U+1FC3; F; U+03B7 U+03B9; # GREEK SMALL LETTER ETA WITH YPOGEGRAMMENI
U+1FC4; F; U+03AE U+03B9; # GREEK SMALL LETTER ETA WITH OXIA AND YPOGEGRAMMENI
U+1FC6; F; U+03B7 U+0342; # GREEK SMALL LETTER ETA WITH PERISPOMENI
U+1FC7; F; U+03B7 U+0342 U+03B9; # GREEK SMALL LETTER ETA WITH PERISPOMENI AND YPOGEGRAMMENI
U+1FC8; C; U+1F72; # GREEK CAPITAL LETTER EPSILON WITH VARIA
U+1FC9; C; U+1F73; # GREEK CAPITAL LETTER EPSILON WITH OXIA
U+1FCA; C; U+1F74; # GREEK CAPITAL LETTER ETA WITH VARIA
U+1FCB; C; U+1F75; # GREEK CAPITAL LETTER ETA WITH OXIA
U+1FCC; F; U+03B7 U+03B9; # GREEK CAPITAL LETTER ETA WITH PROSGEGRAMMENI
U+1FCC; S; U+1FC3; # GREEK CAPITAL LETTER ETA WITH PROSGEGRAMMENI
U+1FD2; F; U+03B9 U+0308 U+0300; # GREEK SMALL LETTER IOTA WITH DIALYTIKA AND VARIA
U+1FD3; F; U+03B9 U+0308 U+0301; # GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA
U+1FD6; F; U+03B9 U+0342; # GREEK SMALL LETTER IOTA WITH PERISPOMENI
U+1FD7; F; U+03B9 U+0308 U+0342; # GREEK SMALL LETTER IOTA WITH DIALYTIKA AND PERISPOMENI
U+1FD8; C; U+1FD0; # GREEK CAPITAL LETTER IOTA WITH VRACHY
U+1FD9; C; U+1FD1; # GREEK CAPITAL LETTER IOTA WITH MACRON
U+1FDA; C; U+1F76; # GREEK CAPITAL LETTER IOTA WITH VARIA
U+1FDB; C; U+1F77; # GREEK CAPITAL LETTER IOTA WITH OXIA
U+1FE2; F; U+03C5 U+0308 U+0300; # GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND VARIA
U+1FE3; F; U+03C5 U+0308 U+0301; # GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND OXIA
U+1FE4; F; U+03C1 U+0313; # GREEK SMALL LETTER RHO WITH PSILI
U+1FE6; F; U+03C5 U+0342; # GREEK SMALL LETTER UPSILON WITH PERISPOMENI
U+1FE7; F; U+03C5 U+0308 U+0342; # GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND PERISPOMENI
U+1FE8; C; U+1FE0; # GREEK CAPITAL LETTER UPSILON WITH VRACHY
U+1FE9; C; U+1FE1; # GREEK CAPITAL LETTER UPSILON WITH MACRON
U+1FEA; C; U+1F7A; # GREEK CAPITAL LETTER UPSILON WITH VARIA
U+1FEB; C; U+1F7B; # GREEK CAPITAL LETTER UPSILON WITH OXIA
U+1FEC; C; U+1FE5; # GREEK CAPITAL LETTER RHO WITH DASIA
U+1FF2; F; U+1F7C U+03B9; # GREEK SMALL LETTER OMEGA WITH VARIA AND YPOGEGRAMMENI
U+1FF3; F; U+03C9 U+03B9; # GREEK SMALL LETTER OMEGA WITH YPOGEGRAMMENI
U+1FF4; F; U+03CE U+03B9; # GREEK SMALL LETTER OMEGA WITH OXIA AND YPOGEGRAMMENI
U+1FF6; F; U+03C9 U+0342; # GREEK SMALL LETTER OMEGA WITH PERISPOMENI
U+1FF7; F; U+03C9 U+0342 U+03B9; # GREEK SMALL LETTER OMEGA WITH PERISPOMENI AND YPOGEGRAMMENI
U+1FF8; C; U+1F78; # GREEK CAPITAL LETTER OMICRON WITH VARIA
U+1FF9; C; U+1F79; # GREEK CAPITAL LETTER OMICRON WITH OXIA
U+1FFA; C; U+1F7C; # GREEK CAPITAL LETTER OMEGA WITH VARIA
U+1FFB; C; U+1F7D; # GREEK CAPITAL LETTER OMEGA WITH OXIA
U+1FFC; F; U+03C9 U+03B9; # GREEK CAPITAL LETTER OMEGA WITH PROSGEGRAMMENI
U+1FFC; S; U+1FF3; # GREEK CAPITAL LETTER OMEGA WITH PROSGEGRAMMENI
U+2126; C; U+03C9; # OHM SIGN
U+212A; C; U+006B; # KELVIN SIGN
U+212B; C; U+00E5; # ANGSTROM SIGN
U+2132; C; U+214E; # TURNED CAPITAL F
U+2160; C; U+2170; # ROMAN NUMERAL ONE
U+2161; C; U+2171; # ROMAN NUMERAL TWO
U+2162; C; U+2172; # ROMAN NUMERAL THREE
U+2163; C; U+2173; # ROMAN NUMERAL FOUR
U+2164; C; U+2174; # ROMAN NUMERAL FIVE
U+2165; C; U+2175; # ROMAN NUMERAL SIX
U+2166; C; U+2176; # ROMAN NUMERAL SEVEN
U+2167; C; U+2177; # ROMAN NUMERAL EIGHT
U+2168; C; U+2178; # ROMAN NUMERAL NINE
U+2169; C; U+2179; # ROMAN NUMERAL TEN
U+216A; C; U+217A; # ROMAN NUMERAL ELEVEN
U+216B; C; U+217B; # ROMAN NUMERAL TWELVE
U+216C; C; U+217C; # ROMAN NUMERAL FIFTY
U+216D; C; U+217D; # ROMAN NUMERAL ONE HUNDRED
U+216E; C; U+217E; # ROMAN NUMERAL FIVE HUNDRED
U+216F; C; U+217F; # ROMAN NUMERAL ONE THOUSAND
U+2183; C; U+2184; # ROMAN NUMERAL REVERSED ONE HUNDRED
U+24B6; C; U+24D0; # CIRCLED LATIN CAPITAL LETTER A
U+24B7; C; U+24D1; # CIRCLED LATIN CAPITAL LETTER B
U+24B8; C; U+24D2; # CIRCLED LATIN CAPITAL LETTER C
U+24B9; C; U+24D3; # CIRCLED LATIN CAPITAL LETTER D
U+24BA; C; U+24D4; # CIRCLED LATIN CAPITAL LETTER E
U+24BB; C; U+24D5; # CIRCLED LATIN CAPITAL LETTER F
U+24BC; C; U+24D6; # CIRCLED LATIN CAPITAL LETTER G
U+24BD; C; U+24D7; # CIRCLED LATIN CAPITAL LETTER H
U+24BE; C; U+24D8; # CIRCLED LATIN CAPITAL LETTER I
U+24BF; C; U+24D9; # CIRCLED LATIN CAPITAL LETTER J
U+24C0; C; U+24DA; # CIRCLED LATIN CAPITAL LETTER K
U+24C1; C; U+24DB; # CIRCLED LATIN CAPITAL LETTER L
U+24C2; C; U+24DC; # CIRCLED LATIN CAPITAL LETTER M
U+24C3; C; U+24DD; # CIRCLED LATIN CAPITAL LETTER N
U+24C4; C; U+24DE; # CIRCLED LATIN CAPITAL LETTER O
U+24C5; C; U+24DF; # CIRCLED LATIN CAPITAL LETTER P
U+24C6; C; U+24E0; # CIRCLED LATIN CAPITAL LETTER Q
U+24C7; C; U+24E1; # CIRCLED LATIN CAPITAL LETTER R
U+24C8; C; U+24E2; # CIRCLED LATIN CAPITAL LETTER S
U+24C9; C; U+24E3; # CIRCLED LATIN CAPITAL LETTER T
U+24CA; C; U+24E4; # CIRCLED LATIN CAPITAL LETTER U
U+24CB; C; U+24E5; # CIRCLED LATIN CAPITAL LETTER V
U+24CC; C; U+24E6; # CIRCLED LATIN CAPITAL LETTER W
U+24CD; C; U+24E7; # CIRCLED LATIN CAPITAL LETTER X
U+24CE; C; U+24E8; # CIRCLED LATIN CAPITAL LETTER Y
U+24CF; C; U+24E9; # CIRCLED LATIN CAPITAL LETTER Z
U+2C00; C; U+2C30; # GLAGOLITIC CAPITAL LETTER AZU
U+2C01; C; U+2C31; # GLAGOLITIC CAPITAL LETTER BUKY
U+2C02; C; U+2C32; # GLAGOLITIC CAPITAL LETTER VEDE
U+2C03; C; U+2C33; # GLAGOLITIC CAPITAL LETTER GLAGOLI
U+2C04; C; U+2C34; # GLAGOLITIC CAPITAL LETTER DOBRO
U+2C05; C; U+2C35; # GLAGOLITIC CAPITAL LETTER YESTU
U+2C06; C; U+2C36; # GLAGOLITIC CAPITAL LETTER ZHIVETE
U+2C07; C; U+2C37; # GLAGOLITIC CAPITAL LETTER DZELO
U+2C08; C; U+2C38; # GLAGOLITIC CAPITAL LETTER ZEMLJA
U+2C09; C; U+2C39; # GLAGOLITIC CAPITAL LETTER IZHE
U+2C0A; C; U+2C3A; # GLAGOLITIC CAPITAL LETTER INITIAL IZHE
U+2C0B; C; U+2C3B; # GLAGOLITIC CAPITAL LETTER I
U+2C0C; C; U+2C3C; # GLAGOLITIC CAPITAL LETTER DJERVI
U+2C0D; C; U+2C3D; # GLAGOLITIC CAPITAL LETTER KAKO
U+2C0E; C; U+2C3E; # GLAGOLITIC CAPITAL LETTER LJUDIJE
U+2C0F; C; U+2C3F; # GLAGOLITIC CAPITAL LETTER MYSLITE
U+2C10; C; U+2C40; # GLAGOLITIC CAPITAL LETTER NASHI
U+2C11; C; U+2C41; # GLAGOLITIC CAPITAL LETTER ONU
U+2C12; C; U+2C42; # GLAGOLITIC CAPITAL LETTER POKOJI
U+2C13; C; U+2C43; # GLAGOLITIC CAPITAL LETTER RITSI
U+2C14; C; U+2C44; # GLAGOLITIC CAPITAL LETTER SLOVO
U+2C15; C; U+2C45; # GLAGOLITIC CAPITAL LETTER TVRIDO
U+2C16; C; U+2C46; # GLAGOLITIC CAPITAL LETTER UKU
U+2C17; C; U+2C47; # GLAGOLITIC CAPITAL LETTER FRITU
U+2C18; C; U+2C48; # GLAGOLITIC CAPITAL LETTER HERU
U+2C19; C; U+2C49; # GLAGOLITIC CAPITAL LETTER OTU
U+2C1A; C; U+2C4A; # GLAGOLITIC CAPITAL LETTER PE
U+2C1B; C; U+2C4B; # GLAGOLITIC CAPITAL LETTER SHTA
U+2C1C; C; U+2C4C; # GLAGOLITIC CAPITAL LETTER TSI
U+2C1D; C; U+2C4D; # GLAGOLITIC CAPITAL LETTER CHRIVI
U+2C1E; C; U+2C4E; # GLAGOLITIC CAPITAL LETTER SHA
U+2C1F; C; U+2C4F; # GLAGOLITIC CAPITAL LETTER YERU
U+2C20; C; U+2C50; # GLAGOLITIC CAPITAL LETTER YERI
U+2C21; C; U+2C51; # GLAGOLITIC CAPITAL LETTER YATI
U+2C22; C; U+2C52; # GLAGOLITIC CAPITAL LETTER SPIDERY HA
U+2C23; C; U+2C53; # GLAGOLITIC CAPITAL LETTER YU
U+2C24; C; U+2C54; # GLAGOLITIC CAPITAL LETTER SMALL YUS
U+2C25; C; U+2C55; # GLAGOLITIC CAPITAL LETTER SMALL YUS WITH TAIL
U+2C26; C; U+2C56; # GLAGOLITIC CAPITAL LETTER YO
U+2C27; C; U+2C57; # GLAGOLITIC CAPITAL LETTER IOTATED SMALL YUS
U+2C28; C; U+2C58; # GLAGOLITIC CAPITAL LETTER BIG YUS
U+2C29; C; U+2C59; # GLAGOLITIC CAPITAL LETTER IOTATED BIG YUS
U+2C2A; C; U+2C5A; # GLAGOLITIC CAPITAL LETTER FITA
U+2C2B; C; U+2C5B; # GLAGOLITIC CAPITAL LETTER IZHITSA
U+2C2C; C; U+2C5C; # GLAGOLITIC CAPITAL LETTER SHTAPIC
U+2C2D; C; U+2C5D; # GLAGOLITIC CAPITAL LETTER TROKUTASTI A
U+2C2E; C; U+2C5E; # GLAGOLITIC CAPITAL LETTER LATINATE MYSLITE
U+2C60; C; U+2C61; # LATIN CAPITAL LETTER L WITH DOUBLE BAR
U+2C62; C; U+026B; # LATIN CAPITAL LETTER L WITH MIDDLE TILDE
U+2C63; C; U+1D7D; # LATIN CAPITAL LETTER P WITH STROKE
U+2C64; C; U+027D; # LATIN CAPITAL LETTER R WITH TAIL
U+2C67; C; U+2C68; # LATIN CAPITAL LETTER H WITH DESCENDER
U+2C69; C; U+2C6A; # LATIN CAPITAL LETTER K WITH DESCENDER
